data,autor,texto_original,respostas_coletadas,likes,reposts,uri,termo_busca,categoria_autor
2025-07-08 05:21:46.212000+00:00,usuario_anonimo_921,nunca se sabe se anoite isso ganha vida e suga todo o seu sangue e te passa a dengue 2,,0,0,at://did:plc:2xnilstqsqhpugbbbnycrp46/app.bsky.feed.post/3ltgkljcmp22e,dengue,Comum
2025-07-08 04:18:00.248000+00:00,usuario_anonimo_698,Mosquito da dengue,,1,0,at://did:plc:dg7e4tuq7r4rxg6sx6mqhu7m/app.bsky.feed.post/3ltggzilipc25,dengue,Comum
2025-07-08 01:35:57.624000+00:00,usuario_anonimo_2283,"As vezes eu penso que a dengue sai do meu corpo na mesma velocidade que entra, considerando o tanto de picada de mosquito que eu to tomando",,0,0,at://did:plc:eyezyq3sugbqvxtkshjh34cr/app.bsky.feed.post/3ltg5xqeiqs2h,dengue,Comum
2025-07-07 21:29:18.485000+00:00,usuario_anonimo_4250,"Jovem é indiciado por assalto a estabelecimento em Xanxerê

📶Ele está foragido; o outro participante do crime, um adolescente de 12, está internado em um centro socioeducativo #Notícias #SantaCatarina #Dengue

Confira no Portal TVBV: www.tvbv.com.br/jovem-e-indi...",,0,0,at://did:plc:jji5luhtamhx3l2debokfwph/app.bsky.feed.post/3ltfq6osml22x,dengue,Comum
2025-07-07 21:28:07.485000+00:00,usuario_anonimo_4250,"Casos de dengue têm queda de mais de 90% em Santa Catarina

📶Óbitos pela doença acompanharam redução expressiva em comparação a 2024 #Notícias #SantaCatarina #Dengue

Confira no Portal TVBV: www.tvbv.com.br/casos-de-den...",,0,0,at://did:plc:jji5luhtamhx3l2debokfwph/app.bsky.feed.post/3ltfq4l3vmc2x,dengue,Comum
2025-07-07 21:20:50.923267+00:00,g1-bot-rss.adilson.net.br,Baixada Santista registra 16 mortes por dengue e confirma 9.746 casos da doença em 2025; confira,,0,0,at://did:plc:kzkl2onyewbs7pehh2ellzcb/app.bsky.feed.post/3ltfppmz6d52j,dengue,Oficial/Verificado
2025-07-07 19:16:10.481000+00:00,usuario_anonimo_1943,Imagina o tamanho da Dengue que esse aqui transmite,,1,0,at://did:plc:jbqgxe5s7t4t3rdzrl7lpt5g/app.bsky.feed.post/3ltfiqmu3g22j,dengue,Comum
2025-07-07 17:18:19.479000+00:00,usuario_anonimo_1018,"não aguento mais ficar de molho na cama, tem quase 3 semanas que eu adoeci. primeiro foi gripe, depois foi dengue e agora infecção de urina. fizeram uma amarração braba pra mim em algum terrero",[handemiyy.swifties.social]: fui eu amor desculpa,1,0,at://did:plc:dblnyygfvgqfd3sprojec62m/app.bsky.feed.post/3ltfc5vg7zk2m,dengue,Comum
2025-07-07 16:41:40.526546+00:00,g1-bot-rss.adilson.net.br,"Com 41,4 mil casos e 17 mortes por dengue em 2025, Campinas visita 757,3 mil imóveis no 1º semestre",,0,0,at://did:plc:kzkl2onyewbs7pehh2ellzcb/app.bsky.feed.post/3ltfa4gktsw25,dengue,Oficial/Verificado
2025-07-07 12:50:50.091049+00:00,g1-bot-rss.adilson.net.br,São José dos Campos confirma a 4ª morte por dengue em 2025,,0,0,at://did:plc:kzkl2onyewbs7pehh2ellzcb/app.bsky.feed.post/3ltet7nt7a52e,dengue,Oficial/Verificado
